鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積平方公尺_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,來源資料夾_
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路 159 號  13樓  B2-13F,32.77,住,,,1041009,土地1建物1車位2,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,247.38,4,2,2,有,無,16580000,72427,坡道平面,58.5,2900000,,RPUNMLQLKHLFFFH09CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路85號 7樓  C2-07F,32.77,住,,,1041107,土地1建物1車位2,七層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,247.51,4,2,2,有,無,14910000,64600,坡道平面,58.5,2700000,,RPVNMLQLKHLFFFH56CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路97號 15樓  D5-15F,22.84,住,,,1041005,土地1建物1車位1,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,161.07,3,2,2,有,無,9080000,57882,坡道平面,29.25,1450000,,RPWNMLQLKHLFFFH66CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路113號 13樓  F5-13F,17.13,住,,,1041007,土地1建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.6,2,2,1,有,無,7200000,59990,坡道平面,29.25,1300000,,RPOOMLQLKHLFFFH58CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路117號 2樓  G2-02F,22.16,住,,,1041026,土地1建物1車位1,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9750000,66166,坡道平面,29.25,1300000,,RPQOMLQLKHLFFFH78CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路121號3樓  G3-03F,16.99,住,,,1041003,土地1建物1車位1,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,128.87,2,2,1,有,無,7370000,60430,坡道平面,29.25,1350000,,RPROMLQLKHLFFFH88CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路121號7樓  G3-07F,16.99,住,,,1041016,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.31,2,2,1,有,無,7360000,64450,坡道平面,29.25,1040000,,RPSOMLQLKHLFFFH98CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路123號12樓  G5-12F,16.99,住,,,1041019,土地1建物1車位1,十二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,127.31,2,2,1,有,無,7600000,63736,坡道平面,29.25,1350000,,RPTOMLQLKHLFFFH09CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路125號6樓  H1-06F,22.16,住,,,1041106,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9420000,63190,坡道平面,29.25,1350000,,RPUOMLQLKHLFFFH56CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路127號5樓  H2-05F,22.16,住,,,1041012,土地1建物1車位1,五層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,158.55,3,2,2,有,無,9450000,62645,坡道平面,29.25,1350000,,RPVOMLQLKHLFFFH66CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路127號7樓  H2-07F,22.16,住,,,1041027,土地1建物1車位1,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9460000,63503,坡道平面,29.25,1350000,,RPWOMLQLKHLFFFH76CB,105_02
八德區,房地(土地+建物)+車位,桃園市八德區廣豐路127號9樓  H2-09F,22.16,住,,,1041108,土地1建物1車位1,九層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,156.96,3,2,2,有,無,9800000,65383,坡道平面,29.25,1450000,,RPXOMLQLKHLFFFH86CB,105_02
