鄉鎮市區_The villages and towns urban district,交易標的_transaction sign,土地位置建物門牌_land sector position building sector house number plate,土地移轉總面積平方公尺_land shifting total area square meter,都市土地使用分區_the use zoning or compiles and checks,非都市土地使用分區_the non-metropolis land use district,非都市土地使用編定_non-metropolis land use,交易年月日_transaction year month and day,交易筆棟數_transaction pen number,移轉層次_shifting level,總樓層數_total floor number,建物型態_building state,主要用途_main use,主要建材_main building materials,建築完成年月_construction to complete the years,建物移轉總面積平方公尺_building shifting total area,建物現況格局-房_Building present situation pattern - room,建物現況格局-廳_building present situation pattern - hall,建物現況格局-衛_building present situation pattern - health,建物現況格局-隔間_building present situation pattern - compartmented,有無管理組織_Whether there is manages the organization,總價元_total price NTD,單價元平方公尺_the unit price (NTD / square meter),車位類別_the berth category,車位移轉總面積(平方公尺)_berth shifting total area square meter,車位總價元_the berth total price NTD,備註_the note,編號_serial number,主建物面積_Unnamed: 28_level_1,附屬建物面積_Unnamed: 29_level_1,陽台面積_Unnamed: 30_level_1,電梯_Unnamed: 31_level_1,移轉編號_Unnamed: 32_level_1,來源資料夾_
壽豐鄉,土地,大坪段970地號,1461.08,,一般農業區,農牧用地,1041125,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5500000,3764.0,,0.0,0,含未保存建物相關連件,RPXNMLQJMHLFFAU47CA,0.0,0.0,0.0,,,105_02
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉光榮四街３６號,189.35,,鄉村區,乙種建築用地,1050115,土地1建物1車位0,全,二層,透天厝,住家用,見其他登記事項,7001.0,84.3,5,2,1,有,無,2800000,33215.0,,0.0,0,,RPUOMLMLLHLFFAU96CA,84.3,0.0,0.0,,,105_02
玉里鎮,土地,民南段1195地號,3333.09,,山坡地保育區,農牧用地,1050225,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1600000,480.0,,0.0,0,,RPPNMLTKLHLFFCU17CA,0.0,0.0,0.0,,,105_02
玉里鎮,土地,玉城段403-7地號,592.0,住,,,1050226,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18803400,31763.0,,0.0,0,本件買賣含地上未登記建物一棟,RPRNMLRKLHLFFCU17CA,0.0,0.0,0.0,,,105_02
玉里鎮,房地(土地+建物),花蓮縣玉里鎮中華路３４５號,234.0,住,,,1050301,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土加強磚造,641117.0,188.58,3,2,2,有,無,6000000,31817.0,,0.0,0,,RPQNMLLKLHLFFCU09CA,173.9,0.0,14.68,,,105_02
玉里鎮,土地,高寮段565地號,2050.23,,特定農業區,農牧用地,1050216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,390.0,,0.0,0,親友、員工或其他特殊關係間之交易。,RPSNMLQKLHLFFCU17CA,0.0,0.0,0.0,,,105_02
壽豐鄉,房地(土地+建物),花蓮縣壽豐鄉四區１之１８號,1460.6,農,,,1050218,土地1建物1車位0,二層，一層,二層,農舍,農舍,鋼筋混凝土造,1050113.0,271.24,4,2,5,有,無,5500000,,,0.0,0,價金不含配蓋農舍,RPOOMLPKLHLFFAU76EA,253.88,0.0,17.36,,,105_02
玉里鎮,房地(土地+建物),花蓮縣玉里鎮三民７４之７號,109.08,,鄉村區,乙種建築用地,1050229,土地1建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土加強磚造,740101.0,103.4,3,1,2,有,無,1800000,17408.0,,0.0,0,,RPPNMLOKLHLFFCU86EA,98.19,0.0,5.21,,,105_02
萬榮鄉,土地,新白陽段401地號,143.98,,一般農業區,甲種建築用地,1050303,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,300000,2084.0,,0.0,0,親友、員工或其他特殊關係間之交易。含未登記建物。,RPRNMLLMLHLFFBU86EA,0.0,0.0,0.0,,,105_02
富里鄉,土地,富里段854地號,11771.0,,山坡地保育區,農牧用地,1050308,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1412520,120.0,,0.0,0,,RPQNMLLKMHLFFCU66DA,0.0,0.0,0.0,,,105_02
