區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
松山區,113,-143,-213,-207,-110,49,-242,-230,-319,-31,-159,-11
信義區,-205,-337,-356,-85,-322,-279,-127,-415,-286,-16,-98,-139
大安區,-124,-97,185,-118,-210,-139,-375,-190,-409,148,16,-96
中山區,-161,-98,-174,-228,-281,-63,-27,-203,-67,-64,-79,-266
中正區,-18,-41,56,-26,64,16,-230,-235,-308,-56,-62,-19
大同區,-87,-119,-61,-122,-191,-159,-319,-197,-196,-102,-85,-170
萬華區,-82,-150,-375,-138,-305,-149,-103,-227,-215,-139,-152,-163
文山區,-97,-60,-30,-226,-163,-47,-145,15,-235,-111,-49,-181
南港區,-28,-32,-187,-106,-64,-110,15,-98,-144,50,-115,-83
內湖區,-51,-193,-17,-248,-267,-165,-192,-156,-250,-2,47,-82
士林區,-27,-225,-99,-152,-226,-259,-345,-307,-281,-93,-55,-223
北投區,-106,-185,-166,-204,-383,-28,68,-185,-134,119,44,-220
總計,-873,"-1,680","-1,437","-1,860","-2,458","-1,333","-2,022","-2,428","-2,844",-297,-747,"-1,653"
