區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
松山區,-86,-8,-50,-128,-192,-100,-319,-462,-419,-7,-18,76
信義區,-300,-304,-199,-379,-330,-332,-373,-456,-303,-273,-16,-266
大安區,-164,43,14,27,-52,19,-336,-332,-537,-20,14,5
中山區,-178,-226,-279,-146,-325,-144,-229,-307,-130,-163,-152,-125
中正區,-128,-86,-2,-111,-99,-71,-350,-246,-220,15,22,129
大同區,26,-111,-63,-136,-230,-50,-388,-392,-150,-99,-93,15
萬華區,-185,-309,-204,-196,-304,-58,-305,-231,-210,-176,-80,-181
文山區,-95,-96,28,-232,-344,-67,-276,-366,-448,-163,-138,-103
南港區,-140,-224,-264,-129,-148,-41,-234,-198,-119,-89,-102,-53
內湖區,-112,-201,-238,-309,-231,-28,-415,-370,-264,-137,-295,-156
士林區,-271,-405,-193,-301,-385,-135,-464,-484,-328,-175,-175,-158
北投區,-360,-147,-214,-258,-364,-155,-173,-349,-258,-73,-148,21
總計,"-1,993","-2,074","-1,664","-2,298","-3,004","-1,162","-3,862","-4,193","-3,386","-1,360","-1,181",-796
