區域別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
松山區,-108,28,84,98,-63,-174,-489,-427,-534,52,-84,195
信義區,103,-116,-149,-64,-130,-138,-294,-267,-240,-53,2,-105
大安區,131,-9,179,81,-73,-68,-861,-514,-675,-18,29,154
中山區,227,-2,-97,-51,-6,-37,-353,-170,-4,53,88,144
中正區,-33,18,13,-71,-131,-40,-324,-535,-383,-139,19,126
大同區,19,27,39,-67,-129,-74,-170,-114,-36,-50,11,55
萬華區,78,19,-193,-269,-199,-81,-167,-57,-32,98,15,-56
文山區,52,44,12,83,-4,93,-80,-155,-62,62,68,-79
南港區,66,-3,-48,15,-17,9,66,22,63,78,-67,39
內湖區,134,93,30,-19,63,-200,-247,-202,-77,137,85,96
士林區,59,60,-41,-208,-173,-122,-267,-217,-285,38,54,23
北投區,-2,37,59,-268,-127,22,-198,-242,-208,-33,-72,113
總計,726,196,-112,-740,-989,-810,"-3,384","-2,878","-2,473",225,148,705
