"區域別","總計"
"松山區","210,433"
"信義區","229,854"
"大安區","313,926"
"中山區","230,833"
"中正區","163,403"
"大同區","131,036"
"萬華區","194,833"
"文山區","274,129"
"南港區","121,386"
"內湖區","286,047"
"士林區","290,649"
"北投區","257,604"
"總計","2,704,133"
